h,0.602083
e,0.243750
l,0.906250
l,0.918750
o,0.854167
w,0.135417
o,0.866667
w,0.154167
 ,0.566667
t,0.441667
h,0.620833
i,0.787500
s,0.193750
 ,0.560417
i,0.760417
s,0.154167
 ,0.589583
m,0.804167
y,0.527083
 ,0.581250
f,0.387500
a,0.085417
v,0.516667
o,0.841667
u,0.660417
r,0.350000
i,0.760417
t,0.454167
e,0.222917
 ,0.631250
s,0.195833
o,0.852083
n,0.720833
g,0.514583
h,0.629167
e,0.243750
a,0.060417
d,0.304167
s,0.189583
h,0.633333
o,0.854167
t,0.452083
 ,0.639583
g,0.479167
g,0.483333
 ,0.656250
n,0.704167
o,0.858333
o,0.854167
b,0.604167
i,0.768750
 ,0.435417
e,0.260417
n,0.729167
j,0.756250
o,0.841667
y,0.222917
e,0.916667
d,0.566667
 ,0.256250
m,0.316667
y,0.654167
 ,0.835417
l,0.564583
u,0.620833
n,0.881250
c,0.662500
h,0.477083
?,0.604167
i,0.745833
 ,0.414583
a,0.095833
m,0.804167
 ,0.595833
l,0.904167
a,0.079167
c,0.395833
k,0.835417
i,0.747917
n,0.695833
g,0.520833
 ,0.581250
s,0.187500
l,0.887500
e,0.262500
e,0.252083
p,0.916667
e,0.254167
x,0.331250
a,0.060417
m,0.797917
s,0.200000
 ,0.604167
a,0.077083
r,0.385417
e,0.258333
 ,0.629167
a,0.064583
p,0.945833
p,0.925000
r,0.333333
o,0.833333
a,0.077083
c,0.402083
h,0.597917
i,0.775000
n,0.718750
g,0.495833
y,0.552083
o,0.872917
u,0.647917
 ,0.437500
s,0.187500
h,0.589583
a,0.064583
l,0.893750
l,0.897917
 ,0.412500
n,0.691667
o,0.835417
t,0.464583
 ,0.593750
p,0.956250
a,0.062500
s,0.210417
s,0.208333
i,0.760417
 ,0.420833
l,0.895833
o,0.854167
v,0.495833
e,0.254167
 ,0.614583
r,0.327083
i,0.768750
c,0.410417
e,0.227083
i,0.741667
 ,0.422917
l,0.889583
i,0.762500
k,0.841667
e,0.239583
 ,0.564583
t,0.454167
r,0.327083
a,0.058333
i,0.787500
n,0.718750
s,0.212500
k,0.775000
o,0.854167
r,0.379167
e,0.241667
a,0.060417
 ,0.612500
i,0.766667
s,0.187500
 ,0.589583
d,0.291667
a,0.068750
e,0.266667
b,0.606250
a,0.072917
k,0.797917
w,0.152083
h,0.606250
y,0.577083
 ,0.454167
d,0.293750
o,0.820833
 ,0.425000
i,0.745833
 ,0.443750
h,0.606250
a,0.089583
v,0.500000
e,0.258333
 ,0.600000
a,0.064583
n,0.689583
 ,0.629167
i,0.729167
p,0.910417
h,0.562500
o,0.872917
n,0.710417
e,0.247917
i,0.743750
 ,0.422917
h,0.620833
a,0.087500
t,0.472917
e,0.264583
 ,0.612500
m,0.814583
i,0.731250
n,0.710417
i,0.747917
n,0.693750
g,0.497917
i,0.758333
 ,0.406250
a,0.079167
m,0.795833
 ,0.600000
a,0.085417
 ,0.631250
v,0.497917
e,0.237500
g,0.520833
e,0.260417
t,0.464583
a,0.064583
r,0.352083
i,0.793750
a,0.062500
n,0.725000
h,0.612500
e,0.270833
 ,0.600000
i,0.772917
s,0.177083
 ,0.579167
a,0.060417
 ,0.568750
l,0.885417
o,0.847917
v,0.495833
e,0.237500
l,0.897917
y,0.547917
 ,0.197917
p,0.870833
e,0.687500
r,?
s,?
o,?
n,?
k,0.795833
o,0.833333
r,0.395833
e,0.222917
a,0.045833
n,0.735417
s,0.202083
 ,0.612500
a,0.064583
r,0.343750
e,0.239583
 ,0.629167
s,0.156250
m,0.789583
a,0.058333
r,0.368750
t,0.454167
s,0.168750
o,0.860417
f,0.406250
t,0.431250
w,0.152083
a,0.058333
r,0.375000
e,0.258333
 ,0.645833
e,0.252083
n,0.739583
g,0.479167
i,0.781250
n,0.731250
e,0.247917
e,0.247917
r,0.329167
i,0.747917
n,0.731250
g,0.489583
 ,0.633333
f,0.379167
o,0.858333
r,0.343750
 ,0.627083
l,0.875000
i,0.762500
f,0.400000
e,0.233333
t,0.447917
h,0.614583
e,0.245833
 ,0.877083
l,0.754167
i,0.608333
b,0.331250
r,0.066667
a,0.358333
r,0.762500
i,0.270833
e,0.197917
s,0.602083
 ,0.079167
a,0.352083
r,0.250000
e,0.606250
 ,0.770833
y,0.666667
o,0.347917
u,0.593750
r,0.414583
 ,0.350000
f,0.787500
r,0.239583
i,0.731250
e,0.277083
n,0.166667
d,?
s,?
e,0.243750
a,0.081250
r,0.335417
t,0.458333
h,0.595833
q,0.079167
u,0.687500
a,0.087500
k,0.770833
e,0.262500
d,0.327083
o,0.858333
 ,0.435417
n,0.693750
o,0.835417
t,0.454167
 ,0.593750
p,0.904167
a,0.077083
n,0.716667
i,0.766667
c,0.389583
e,0.245833
n,0.700000
t,0.462500
r,0.337500
a,0.064583
n,0.706250
c,0.408333
e,0.229167
 ,0.641667
e,0.245833
x,0.318750
a,0.066667
m,0.760417
 ,0.620833
p,0.918750
o,0.845833
s,0.187500
t,0.435417
p,0.954167
o,0.856250
n,0.712500
e,0.247917
d,0.270833
s,0.175000
o,0.860417
 ,0.422917
s,0.220833
w,0.137500
a,0.072917
g,0.497917
?,0.237500
q,0.068750
?,0.054167
a,0.191667
s,0.168750
d,0.258333
d,0.268750
f,0.375000
z,0.204167
a,0.077083
s,0.197917
x,0.335417
h,0.558333
w,0.139583
f,0.377083
g,0.458333
h,0.589583
c,0.341667
v,0.502083
b,0.662500
n,0.739583
m,0.758333
s,0.156250
d,0.325000
f,0.410417
g,0.497917
h,0.660417
w,0.152083
f,0.383333
g,0.539583
h,0.633333
w,0.152083
f,0.391667
z,0.206250
f,0.397917
z,0.185417
a,0.085417
s,0.175000
x,0.247917
c,0.389583
v,0.497917
b,0.647917
n,0.772917
m,0.837500
s,0.168750
d,0.304167
f,0.393750
g,0.447917
h,0.587500
w,0.129167
f,0.387500
z,0.185417
x,0.295833
c,0.412500
v,0.483333
b,0.672917
s,0.179167
d,0.291667
f,0.389583
g,0.495833
h,0.681250
w,0.112500
e,0.245833
r,0.345833
t,0.437500
y,0.514583
?,0.537500
e,0.189583
r,0.377083
t,0.400000
y,0.587500
u,0.656250
b,0.595833
s,0.164583
d,0.275000
f,0.375000
g,0.487500
h,0.602083
i,0.766667
a,0.083333
s,0.187500
d,0.347917
f,0.466667
?,0.508333
g,0.493750
m,0.802083
s,0.227083
d,0.306250
f,0.464583
w,0.143750
e,0.335417
r,0.364583
t,0.460417
?,0.475000
y,0.533333
u,0.666667
i,0.783333
a,0.068750
y,0.560417
u,0.679167
i,0.789583
a,0.083333
s,0.204167
m,0.802083
s,0.179167
d,0.247917
f,0.420833
g,0.500000
h,0.595833
q,0.070833
w,0.131250
f,0.387500
g,0.504167
h,0.618750
o,0.858333
p,0.914583
e,0.256250
r,0.356250
t,0.450000
y,0.512500
a,0.077083
s,0.206250
d,0.318750
f,0.429167
g,0.502083
h,0.620833
j,0.714583
k,0.833333
l,0.929167
z,0.218750
q,0.072917
w,0.156250
f,0.414583
g,0.510417
s,0.189583
m,0.797917
w,0.143750
e,0.302083
y,0.618750
u,0.708333
g,0.466667
g,0.495833
s,0.170833
m,0.810417
s,0.131250
d,0.297917
?,0.660417
f,0.368750
h,0.629167
q,0.062500
h,0.677083
o,0.900000
?,0.341667
p,0.956250
a,0.147917
s,0.258333
d,0.279167
f,0.406250
w,0.131250
e,0.256250
r,0.360417
t,0.456250
y,0.604167
a,0.100000
s,0.162500
d,0.235417
f,0.410417
g,0.458333
h,0.560417
j,0.743750
k,0.808333
l,0.954167
z,0.204167
q,0.075000
w,0.156250
f,0.381250
g,0.525000
s,0.204167
m,0.797917
s,0.168750
d,0.304167
f,0.387500
g,0.470833
h,0.654167
e,0.225000
r,0.381250
t,0.431250
y,0.504167
a,0.072917
s,0.166667
d,0.208333
f,0.329167
g,0.472917
h,0.656250
j,0.789583
k,0.812500
l,0.914583
z,0.193750
q,0.062500
w,0.177083
f,0.379167
g,0.531250
s,0.177083
m,0.800000
w,0.185417
e,0.241667
y,0.543750
u,0.718750
g,0.479167
g,0.489583
s,0.183333
m,0.872917
s,0.172917
d,0.314583
f,0.408333
h,0.616667
q,0.077083
?,0.647917
?,0.072917
h,0.616667
o,0.866667
p,0.954167
a,0.062500
s,0.206250
d,0.345833
f,0.389583
g,0.487500
x,0.297917
c,0.445833
v,0.487500
b,0.597917
n,0.712500
q,0.077083
u,0.652083
g,0.489583
h,0.612500
s,0.177083
d,0.325000
f,0.406250
g,0.491667
h,0.658333
w,0.156250
e,0.275000
r,0.381250
t,0.370833
y,0.564583
u,0.666667
i,0.802083
m,0.758333
s,0.210417
d,0.285417
f,0.385417
g,0.512500
h,0.635417
w,0.147917
e,0.227083
r,0.320833
t,0.445833
y,0.575000
u,0.660417
g,0.504167
h,0.600000
q,0.066667
a,0.104167
s,0.210417
d,0.295833
f,0.402083
z,0.212500
x,0.327083
c,0.427083
v,0.475000
b,0.635417
n,0.779167
m,0.802083
e,0.279167
y,0.562500
u,0.645833
g,0.475000
h,0.600000
?,0.425000
q,0.072917
a,0.087500
s,0.204167
d,0.270833
r,0.331250
t,0.433333
y,0.570833
d,0.268750
f,0.402083
z,0.202083
x,0.339583
c,0.462500
v,0.510417
b,0.589583
n,0.727083
m,0.793750
e,0.266667
y,0.508333
u,0.650000
g,0.483333
h,0.610417
q,0.081250
u,0.664583
g,0.527083
h,0.677083
s,0.183333
d,0.368750
f,0.431250
g,0.497917
h,0.597917
w,0.120833
e,0.260417
r,0.370833
t,0.402083
y,0.585417
u,0.656250
i,0.768750
a,0.072917
s,0.212500
m,0.781250
s,0.237500
d,0.345833
f,0.389583
g,0.495833
h,0.639583
w,0.152083
g,0.502083
h,0.614583
w,0.135417
e,0.264583
r,0.345833
t,0.491667
y,0.200000
u,0.689583
i,0.741667
a,0.087500
s,0.187500
m,0.816667
s,0.210417
e,0.250000
y,0.547917
u,0.675000
g,0.485417
?,0.472917
h,0.629167
q,0.087500
a,0.100000
s,0.162500
d,0.320833
r,0.358333
t,0.447917
y,0.527083
s,0.181250
m,0.779167
s,0.237500
e,0.250000
y,0.558333
?,0.422917
u,0.641667
g,0.497917
h,0.625000
q,0.072917
a,0.077083
s,0.189583
d,0.310417
r,0.370833
t,0.452083
y,0.579167
u,0.641667
g,0.487500
h,0.633333
j,0.697917
k,0.822917
q,0.070833
a,0.079167
s,0.195833
d,0.295833
d,0.293750
f,0.416667
z,0.216667
a,0.072917
s,0.204167
x,0.293750
h,0.610417
w,0.158333
f,0.400000
g,0.547917
h,0.579167
c,0.391667
?,0.572917
v,0.483333
b,0.608333
n,0.710417
m,0.806250
s,0.183333
d,0.281250
f,0.412500
g,0.512500
h,0.622917
w,0.137500
f,0.350000
?,0.479167
g,0.510417
h,0.600000
w,0.150000
f,0.410417
z,0.210417
f,0.427083
z,0.212500
a,0.068750
s,0.193750
x,0.300000
c,0.416667
v,0.552083
b,0.575000
n,0.679167
m,0.785417
s,0.154167
d,0.306250
f,0.456250
g,0.520833
h,0.620833
