q,0.059722
a,0.162500
s,0.255556
d,0.294444
d,0.347222
f,0.416667
z,0.245833
a,0.143056
s,0.248611
x,0.370833
h,0.569444
w,0.206944
f,0.443056
g,0.536111
h,0.652778
c,0.456944
v,0.547222
b,0.552778
n,0.665278
m,0.784722
s,0.259722
d,0.291667
f,0.373611
g,0.469444
h,0.570833
w,0.201389
f,0.372222
g,0.465278
h,0.634722
w,0.225000
f,0.461111
z,0.247222
f,0.452778
z,0.219444
a,0.150000
s,0.275000
x,0.368056
c,0.465278
v,0.555556
b,0.638889
n,0.720833
m,0.831944
s,0.259722
d,0.369444
f,0.452778
g,0.458333
h,0.654167
w,0.222222
f,0.398611
?,0.375000
z,0.263889
x,0.373611
c,0.459722
v,0.550000
b,0.666667
s,0.288889
d,0.368056
f,0.469444
g,0.454167
h,0.651389
w,0.193056
e,0.306944
r,0.420833
t,0.500000
y,0.597222
e,0.300000
r,0.402778
t,0.515278
y,0.602778
u,0.626389
b,0.548611
s,0.247222
d,0.373611
f,0.461111
g,0.468056
h,0.561111
i,0.675000
a,0.177778
s,0.266667
d,0.368056
f,0.477778
g,0.475000
m,0.763889
s,0.241667
d,0.345833
f,0.430556
w,0.181944
e,0.266667
r,0.408333
t,0.481944
y,0.545833
u,0.711111
i,0.688889
a,0.113889
y,0.609722
u,0.616667
i,0.705556
a,0.161111
s,0.248611
m,0.750000
s,0.240278
d,0.344444
f,0.469444
g,0.576389
h,0.561111
q,0.101389
w,0.193056
f,0.456944
g,0.459722
h,0.552778
o,0.769444
p,0.845833
e,0.193056
r,0.397222
t,0.493056
y,0.505556
a,0.156944
s,0.244444
d,0.372222
f,0.363889
g,0.441667
h,0.643056
j,0.658333
k,0.733333
l,0.833333
z,0.237500
q,0.087500
w,0.236111
f,0.443056
g,0.466667
s,0.159722
m,0.745833
w,0.198611
e,0.193056
y,0.526389
u,0.606944
g,0.555556
g,0.461111
s,0.156944
m,0.747222
s,0.148611
d,0.238889
f,0.438889
h,0.573611
q,0.926389
?,0.102778
h,0.545833
o,0.784722
p,0.866667
a,0.029167
s,0.229167
d,0.272222
f,0.468056
w,0.155556
e,0.244444
r,0.372222
t,0.509722
y,0.619444
a,0.145833
s,0.152778
d,0.280556
f,0.384722
g,0.561111
h,0.559722
j,0.677778
k,0.756944
l,0.844444
z,0.150000
q,0.098611
w,0.148611
f,0.441667
g,0.652778
s,0.141667
m,0.725000
s,0.237500
d,0.434722
?,0.419444
f,0.362500
g,0.461111
h,0.551389
e,0.211111
r,0.433333
t,0.420833
y,0.629167
a,0.156944
s,0.276389
d,0.288889
f,0.454167
g,0.444444
h,0.636111
j,0.756944
k,0.775000
l,0.890278
z,0.150000
q,0.052778
w,0.205556
f,0.440278
g,0.572222
s,0.137500
m,0.756944
w,0.077778
e,0.202778
y,0.520833
u,0.612500
g,0.581944
?,0.570833
g,0.450000
s,0.120833
m,0.763889
s,0.113889
d,0.350000
f,0.358333
h,0.640278
q,0.112500
h,0.548611
o,0.783333
p,0.876389
a,0.143056
s,0.300000
d,0.394444
f,0.280556
g,0.573611
x,0.208333
c,0.468056
v,0.437500
b,0.666667
n,0.659722
q,0.116667
u,0.633333
g,0.544444
h,0.559722
s,0.138889
d,0.222222
f,0.461111
g,0.461111
h,0.665278
w,0.181944
e,0.336111
r,0.427778
t,0.411111
y,0.505556
u,0.577778
i,0.712500
m,0.791667
s,0.169444
